अ 	a
आ 	aa
इ 	i
ई 	I/ii
उ 	u
ऊ 	U/uu
ए 	e
ऐ 	ai
ओ 	o
औ 	au
ऋ 	RRi
ऋ	R^i
ॠ 	RRI
ॠ	R^I
ऌ 	LLi
ऌ	L^i
ॡ 	LLI
ॡ	L^I
अं 	.m
अं	N
अं	.m
अः 	H
अँ 	.N
् 	.h
ऽ 	.a
ॐ 	OM
ॐ	AUM
क 	ka
ख 	kha
ग 	ga
घ 	gha
ङ 	~Na
च 	cha
छ 	Cha
ज 	ja
झ 	jha
ञ 	~na
ट 	Ta
ठ 	Tha
ड 	Da
ढ 	Dha
ण 	Na
त 	ta
थ 	tha
द 	da
ध 	dha
न 	na
प 	pa
फ 	pha
ब 	ba
भ 	bha
म 	ma
य 	ya
र 	ra
ल 	la
व 	va
व	wa
श 	sha
ष 	Sha
स 	sa
ह 	ha
क्ष 	kSa
क्ष	kSha
क्ष	xa
त्र 	tra
ज्ञ 	GYa
ज्ञ	j~na
श्र 	shra
क़ 	qa
ख़ 	Kha
ग़ 	Ga
ज़ 	za
फ़ 	fa
ड़ 	.Da
ड़	Ra
ढ़ 	.Dha
ढ़	Rha
